date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:31	58083/58083	---M-Z	200	added ('OK')	text/html	etag:%22967590-e2e3-5907433e7a672%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/gallery.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/gallery.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:32	54651/54651	---M-Z	200	added ('OK')	text/html	etag:%22967599-d57b-59074340937d7%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/google-maps.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/google-maps.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:32	48948/48948	---M-Z	200	added ('OK')	text/html	etag:%22967593-bf34-5907433f65bea%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/images.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/images.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:32	53081/53081	---M-Z	200	added ('OK')	text/html	etag:%22967581-cf59-5907433b6d2f5%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/list-group.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/list-group.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:33	97227/97227	---M-Z	200	added ('OK')	text/html	etag:%2296758d-17bcb-5907433e0efc4%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/market-social-buttons.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/market-social-buttons.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:33	52434/52434	---M-Z	200	added ('OK')	text/html	etag:%2296758a-ccd2-5907433d8b27a%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/media.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/media.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:34	61442/61442	---M-Z	200	added ('OK')	text/html	etag:%22967598-f002-590743404b3a3%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/modal.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/modal.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:34	48555/48555	---M-Z	200	added ('OK')	text/html	etag:%22967584-bdab-5907433bcfd05%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/pagination.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/pagination.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:35	53296/53296	---M-Z	200	added ('OK')	text/html	etag:%2296758b-d030-5907433d9eaf7%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/pills.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/pills.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:35	53491/53491	---M-Z	200	added ('OK')	text/html	etag:%2296757f-d0f3-5907433b23f22%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/progress-bars.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/progress-bars.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:36	53495/53495	---M-Z	200	added ('OK')	text/html	etag:%22967585-d0f7-5907433c98003%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/shop-items.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/shop-items.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:36	50688/50688	---M-Z	200	added ('OK')	text/html	etag:%2296758f-c600-5907433e861f0%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/steps.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/steps.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:36	65481/65481	---M-Z	200	added ('OK')	text/html	etag:%22967591-ffc9-5907433ee2e40%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/tables.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/tables.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:37	67863/67863	---M-Z	200	added ('OK')	text/html	etag:%22967588-10917-5907433d3e027%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/tabs.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/tabs.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:37	54721/54721	---M-Z	200	added ('OK')	text/html	etag:%22967583-d5c1-5907433bbc488%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/team.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/team.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:38	57413/57413	---M-Z	200	added ('OK')	text/html	etag:%22967580-e045-5907433b2db60%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/toasts.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/toasts.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:38	52157/52157	---M-Z	200	added ('OK')	text/html	etag:%2296758c-cbbd-5907433de7eca%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/tooltips-popovers.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/tooltips-popovers.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
